"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-15","0.01","65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-16","0.00","69","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-17","0.24","69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-18","0.12","63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-19","0.00","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-20","0.00","65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-21","0.00","67","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-22","0.00","66","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-23","0.00","70","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-24","0.00","72","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-25","0.00","81","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-26","0.00","81","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-27","0.00","72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-28","0.00","62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-29","0.00","66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-30","0.01","69","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-05-31","0.00","62","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-01","0.00","66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-02","0.00","78","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-03","0.00","82","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-04","0.00","72","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-05","0.00","62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-06","0.00","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-07","0.00","61","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-08","0.00","70","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-09","0.00","75","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-10","0.00","72","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-11","0.00","69","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-12","0.00","63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-13","0.00","65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-14","0.00","64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-15","0.00","66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-16","0.00","66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-17","0.00","77","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-18","0.00","82","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-19","0.00","64","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-20","0.00","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-21","0.00","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-22","0.00","66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-23","0.00","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-24","0.00","67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-25","0.00","64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-26","0.00","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-27","0.00","61","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-28","0.00","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-29","0.00","68","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-06-30","0.00","73","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-01","0.00","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-02","0.00","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-03","0.00","62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-04","0.00","71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-05","0.00","70","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-06","0.00","66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-07","0.00","67","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-08","0.00","69","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-09","0.00","72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-10","0.00","68","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-11","0.00","71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-12","0.00","71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-13","0.00","61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-14","0.00","67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-15","0.00","66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-16","0.00","64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-17","0.00","66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-18","0.00","67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-19","0.00","65","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-07-20","0.00","61","56"
